ids,name,goal,pledged,main_category,state,slug,disable_communication,country,currency,currency_symbol,currency_trailing_code,deadline,month_deadline,state_changed_at,created_at,launched,year_launched,month_launched,staff_pick,backers,static_usd_rate,usd_pledged,spotlight,name_len,name_len_clean,blurb_len,blurb_len_clean,deadline_weekday,state_changed_at_weekday,created_at_weekday,launched_at_weekday,deadline_month,deadline_day,deadline_yr,deadline_hr,state_changed_at_month,state_changed_at_day,state_changed_at_yr,state_changed_at_hr,created_at_month,created_at_day,created_at_yr,created_at_hr,launched_at_month,launched_at_day,launched_at_yr,launched_at_hr,create_to_launch,launch_to_deadline,launch_to_state_change,create_to_launch_days,launch_to_deadline_days,launch_to_state_change_days,SuccessfulBool,category
32587380,Simple Platform: Extensible E-Commerce and API Framework,10000,26,Technology,failed,simple-platform-extensible-e-commerce-and-api-fram,FALSE,CA,CAD,$,TRUE,2015-06-11 15:07,June,2015-06-11 15:07,2015-03-17 20:56,2015-05-11,2015,May,FALSE,2,0.82829591,21.53569366,FALSE,7,6,18,12,Thursday,Thursday,Tuesday,Monday,6,11,2015,15,6,11,2015,15,3,17,2015,20,5,11,2015,15,54 days 18:10:59.000000000,31 days 00:00:00.000000000,31 days 00:00:01.000000000,54,31,31,0,Web
39732292,COSTUMES FOR PANAMÁ: THE MUSICAL,20000,25930,Theater,successful,panama-the-musical,FALSE,CA,CAD,$,TRUE,2017-02-14 22:59,February,2017-02-14 22:59,2016-09-05 12:03,2017-01-07,2017,January,FALSE,121,0.75408128,19553.32759,TRUE,5,5,21,14,Tuesday,Tuesday,Monday,Saturday,2,14,2017,22,2,14,2017,22,9,5,2016,12,1,7,2017,7,123 days 19:49:27.000000000,38 days 15:06:24.000000000,38 days 15:06:26.000000000,123,38,38,1,Musical
40387293,Komunity Store,3000,0,Technology,failed,komunity-store,FALSE,CA,CAD,$,TRUE,2015-04-22 14:09,April,2015-04-22 14:09,2015-03-13 14:35,2015-03-23,2015,March,FALSE,0,0.79604525,0,FALSE,2,2,23,12,Wednesday,Wednesday,Friday,Monday,4,22,2015,14,4,22,2015,14,3,13,2015,14,3,23,2015,14,9 days 23:33:14.000000000,30 days 00:00:00.000000000,30 days 00:00:02.000000000,9,30,30,0,Web
41304918,Mahri for iPhone - Dual Lightning+Battery+Wireless Charger,50000,7489,Technology,failed,mahri-for-iphone-7-dual-lightning-battery-wireless,FALSE,CA,CAD,$,TRUE,2016-12-19 23:00,December,2016-12-19 23:00,2016-10-22 21:02,2016-11-09,2016,November,FALSE,69,0.74304142,5564.637194,FALSE,7,6,2,2,Monday,Monday,Saturday,Wednesday,12,19,2016,23,12,19,2016,23,10,22,2016,21,11,9,2016,23,18 days 02:29:45.000000000,39 days 23:28:06.000000000,39 days 23:28:06.000000000,18,39,39,0,Gadgets
46812085,Wearable Visual Aid,5000,4341.11,Technology,failed,wearable-visual-aid,FALSE,CA,CAD,$,TRUE,2016-09-06 8:09,September,2016-09-06 8:09,2016-04-01 7:48,2016-07-23,2016,July,FALSE,25,0.76344853,3314.214048,FALSE,3,3,17,12,Tuesday,Tuesday,Friday,Saturday,9,6,2016,8,9,6,2016,8,4,1,2016,7,7,23,2016,8,113 days 00:21:47.000000000,45 days 00:00:00.000000000,45 days 00:00:00.000000000,113,45,45,0,Wearables
55627422,A writing app with visualization ability.,50000,109,Technology,failed,toest,FALSE,CA,CAD,$,TRUE,2015-04-08 23:11,April,2015-04-08 23:11,2015-01-05 15:33,2015-03-09,2015,March,FALSE,2,0.79256134,86.38918606,FALSE,6,5,20,13,Wednesday,Wednesday,Monday,Monday,4,8,2015,23,4,8,2015,23,1,5,2015,15,3,9,2015,23,63 days 07:37:14.000000000,30 days 00:00:00.000000000,30 days 00:00:02.000000000,63,30,30,0,Makerspaces
60812632,Password Generating Book,5000,22348.6,Technology,successful,password-generating-book,FALSE,CA,CAD,$,TRUE,2015-11-13 10:49,November,2015-11-13 10:49,2015-10-10 19:36,2015-10-14,2015,October,FALSE,525,0.7671612,17144.97879,TRUE,3,3,15,12,Friday,Friday,Saturday,Wednesday,11,13,2015,10,11,13,2015,10,10,10,2015,19,10,14,2015,10,3 days 15:12:27.000000000,30 days 00:00:00.000000000,30 days 00:00:00.000000000,3,30,30,1,Wearables
63485676,Live-School real time distance teaching platform,77000,20,Technology,failed,live-school-real-time-distance-teaching-platform,FALSE,CA,CAD,$,TRUE,2015-05-16 16:58,May,2015-05-16 16:58,2015-03-17 5:17,2015-03-17,2015,March,FALSE,1,0.78169031,15.6338062,FALSE,6,6,17,13,Saturday,Saturday,Tuesday,Tuesday,5,16,2015,16,5,16,2015,16,3,17,2015,5,3,17,2015,16,0 days 11:41:06.000000000,60 days 00:00:00.000000000,60 days 00:00:02.000000000,0,60,60,0,Web
66932445,SPACES,200,610,Theater,successful,spaces-1,FALSE,CA,CAD,$,TRUE,2016-06-27 11:00,June,2016-06-27 11:00,2016-06-07 18:11,2016-06-10,2016,June,FALSE,13,0.78807112,480.7233832,TRUE,1,1,12,10,Monday,Monday,Tuesday,Friday,6,27,2016,11,6,27,2016,11,6,7,2016,18,6,10,2016,17,2 days 23:10:32.000000000,16 days 17:37:52.000000000,16 days 17:37:52.000000000,2,16,16,1,Experimental
69388756,LazerAid - Evacuation Guidance System,90000,3071,Technology,failed,lazeraid-evacuation-guidance-system,FALSE,CA,CAD,$,TRUE,2016-05-29 17:43,May,2016-05-29 17:43,2016-03-27 21:52,2016-03-30,2016,March,FALSE,23,0.7571834,2325.310221,FALSE,5,5,19,11,Sunday,Sunday,Sunday,Wednesday,5,29,2016,17,5,29,2016,17,3,27,2016,21,3,30,2016,17,2 days 19:51:22.000000000,60 days 00:00:00.000000000,60 days 00:00:02.000000000,2,60,60,0,Hardware
70451073,"""PMG SUPERCENTER"" A NEW VIRTUAL MUSIC WORLD",3800000,311,Technology,failed,pmg-supercenter-a-new-virtual-music-world,FALSE,CA,CAD,$,TRUE,2015-11-02 18:08,November,2015-11-02 18:08,2015-09-16 17:26,2015-10-03,2015,October,FALSE,5,0.75508569,234.8316496,FALSE,7,7,18,18,Monday,Monday,Wednesday,Saturday,11,2,2015,18,11,2,2015,18,9,16,2015,17,10,3,2015,18,17 days 00:41:22.000000000,30 days 00:00:00.000000000,30 days 00:00:00.000000000,17,30,30,0,Web
71055019,"Lignite Music Player for iOS, Pebble, Apple Watch & iPad",1000,2718,Technology,successful,lignite-ios-music-player-for-ios,FALSE,CA,CAD,$,TRUE,2016-07-30 16:42,July,2016-07-30 16:42,2016-04-18 6:07,2016-06-30,2016,June,FALSE,339,0.76756751,2086.248492,TRUE,10,9,23,18,Saturday,Saturday,Monday,Thursday,7,30,2016,16,7,30,2016,16,4,18,2016,6,6,30,2016,16,73 days 10:34:56.000000000,30 days 00:00:00.000000000,30 days 00:00:01.000000000,73,30,30,1,Apps
71955735,SELLol.ca - Canada's Newest Free Classifieds Site.,10000,0,Technology,failed,sellolca-canadas-newest-free-classifieds-site,FALSE,CA,CAD,$,TRUE,2015-08-01 10:47,August,2015-08-01 10:47,2015-07-01 17:28,2015-07-02,2015,July,FALSE,0,0.80149013,0,FALSE,7,7,26,16,Saturday,Saturday,Wednesday,Thursday,8,1,2015,10,8,1,2015,10,7,1,2015,17,7,2,2015,10,0 days 17:18:39.000000000,30 days 00:00:00.000000000,30 days 00:00:03.000000000,0,30,30,0,Software
72916421,A Midsummer Night's Dream,300,752,Theater,successful,a-midsummer-nights-dream-8,FALSE,CA,CAD,$,TRUE,2016-08-24 22:59,August,2016-08-24 22:59,2015-11-25 12:44,2016-08-14,2016,August,FALSE,17,0.77187652,580.451143,TRUE,4,4,23,16,Wednesday,Wednesday,Wednesday,Sunday,8,24,2016,22,8,24,2016,22,11,25,2015,12,8,14,2016,10,262 days 21:44:09.000000000,10 days 12:30:38.000000000,10 days 12:30:38.000000000,262,10,10,1,Plays
73459602,LOST AND FOUND product - Universal Locator. Great Gift!,15000,7371,Technology,failed,lost-and-found-product-universal-locator-great-gif,FALSE,CA,CAD,$,TRUE,2015-05-08 22:59,May,2015-05-08 22:59,2015-03-09 23:24,2015-03-23,2015,March,FALSE,102,0.79604525,5867.649538,FALSE,9,9,20,15,Friday,Friday,Monday,Monday,5,8,2015,22,5,8,2015,22,3,9,2015,23,3,23,2015,7,13 days 07:38:32.000000000,46 days 15:55:32.000000000,46 days 15:55:37.000000000,13,46,46,0,Gadgets
73960727,KORI - USB Powered Headphone Amp,5000,5039,Technology,successful,kori-usb-powered-headphone-amp,FALSE,CA,CAD,$,TRUE,2015-07-04 7:00,July,2015-07-04 7:00,2015-05-02 10:47,2015-06-03,2015,June,FALSE,15,0.79878521,4025.078673,TRUE,6,6,19,12,Saturday,Saturday,Saturday,Wednesday,7,4,2015,7,7,4,2015,7,5,2,2015,10,6,3,2015,7,31 days 20:12:07.000000000,31 days 00:00:00.000000000,31 days 00:00:07.000000000,31,31,31,1,Sound
76803338,The Smart Box,20000,0,Technology,failed,the-smart-box,FALSE,CA,CAD,$,TRUE,2015-05-24 10:40,May,2015-05-24 10:40,2015-04-24 0:11,2015-04-24,2015,April,FALSE,0,0.81547112,0,FALSE,3,3,17,12,Sunday,Sunday,Friday,Friday,5,24,2015,10,5,24,2015,10,4,24,2015,0,4,24,2015,18,0 days 18:46:09.000000000,29 days 15:42:01.000000000,29 days 15:42:03.000000000,0,29,29,0,Gadgets
77987340,BULL by Mike Bartlett at the Coal Mine Theatre,5000,5665,Theater,successful,bull-at-the-coal-mine-theatre,FALSE,CA,CAD,$,TRUE,2015-04-05 23:00,April,2015-04-05 23:00,2015-02-02 18:23,2015-02-19,2015,February,FALSE,83,0.80653227,4569.00531,TRUE,9,6,17,14,Sunday,Sunday,Monday,Thursday,4,5,2015,23,4,5,2015,23,2,2,2015,18,2,19,2015,11,16 days 17:28:04.000000000,45 days 11:08:22.000000000,45 days 11:08:39.000000000,16,45,45,1,Plays
78916772,THE BISCOTTE KNITTING PATTERNS APP,6000,17589,Technology,successful,the-biscotte-knitting-patterns-app,FALSE,CA,CAD,$,TRUE,2016-03-28 9:14,March,2016-03-28 9:14,2016-02-18 9:47,2016-02-27,2016,February,FALSE,326,0.7374131,12970.35902,TRUE,5,5,21,16,Monday,Monday,Thursday,Saturday,3,28,2016,9,3,28,2016,9,2,18,2016,9,2,27,2016,9,8 days 23:27:27.000000000,30 days 00:00:00.000000000,30 days 00:00:00.000000000,8,30,30,1,Apps
85899078,Whitehall Theatre Presents: Little Shop of Horrors,1000,1150,Theater,successful,whitehall-theatre-presents-little-shop-of-horrors,FALSE,CA,CAD,$,TRUE,2016-07-10 18:32,July,2016-07-10 18:32,2016-05-16 16:57,2016-06-10,2016,June,FALSE,10,0.78807112,906.281788,TRUE,7,6,22,14,Sunday,Sunday,Monday,Friday,7,10,2016,18,7,10,2016,18,5,16,2016,16,6,10,2016,18,25 days 01:34:53.000000000,30 days 00:00:00.000000000,30 days 00:00:00.000000000,25,30,30,1,Musical
94035276,We The Astronomers,4500,5258,Theater,successful,we-the-astronomers,FALSE,CA,CAD,$,TRUE,2016-03-31 22:59,March,2016-03-31 22:59,2014-09-15 21:49,2016-02-26,2016,February,TRUE,100,0.72784283,3826.9976,TRUE,3,3,24,15,Thursday,Thursday,Monday,Friday,3,31,2016,22,3,31,2016,22,9,15,2014,21,2,26,2016,16,528 days 18:58:15.000000000,34 days 06:11:01.000000000,34 days 06:11:03.000000000,528,34,34,1,Plays
98977025,StockSwipe - Its like Tinder but for stocks (BETA 1.0),2500,55,Technology,failed,stockswipe-an-intuitive-fun-and-simple,FALSE,CA,CAD,$,TRUE,2015-08-07 11:59,August,2015-08-07 12:00,2015-07-08 11:35,2015-07-08,2015,July,FALSE,5,0.79046322,43.4754771,FALSE,10,8,17,11,Friday,Friday,Wednesday,Wednesday,8,7,2015,11,8,7,2015,12,7,8,2015,11,7,8,2015,11,0 days 00:24:27.000000000,30 days 00:00:00.000000000,30 days 00:00:41.000000000,0,30,30,0,Apps
100039820,Best Spray Bottle Ever - SureShot,25000,3,Technology,failed,best-spray-bottle-ever-sureshot,FALSE,CA,CAD,$,TRUE,2015-03-07 9:57,March,2015-03-07 9:57,2015-01-22 9:02,2015-02-05,2015,February,FALSE,3,0.80370024,2.41110072,FALSE,6,6,27,13,Saturday,Saturday,Thursday,Thursday,3,7,2015,9,3,7,2015,9,1,22,2015,9,2,5,2015,9,14 days 00:55:17.000000000,30 days 00:00:00.000000000,30 days 00:00:03.000000000,14,30,30,0,Gadgets
107406211,Tail Flag,8000,61,Technology,failed,tail-flag,FALSE,CA,CAD,$,TRUE,2016-08-25 14:01,August,2016-08-25 14:01,2016-02-22 10:55,2016-07-26,2016,July,FALSE,3,0.76142905,46.44717205,FALSE,2,2,22,10,Thursday,Thursday,Monday,Tuesday,8,25,2016,14,8,25,2016,14,2,22,2016,10,7,26,2016,14,155 days 03:06:09.000000000,30 days 00:00:00.000000000,30 days 00:00:01.000000000,155,30,30,0,Gadgets
109027970,Direct To Wall Acrylic/Latex/Ink Printer,30000,25,Technology,failed,direct-to-wall-acrylic-latex-printer,FALSE,CA,CAD,$,TRUE,2015-05-01 15:52,May,2015-05-01 15:52,2015-02-26 10:29,2015-03-02,2015,March,FALSE,1,0.79937329,19.98433225,FALSE,5,5,21,15,Friday,Friday,Thursday,Monday,5,1,2015,15,5,1,2015,15,2,26,2015,10,3,2,2015,15,4 days 05:23:03.000000000,60 days 00:00:00.000000000,60 days 00:00:01.000000000,4,60,60,0,Hardware
109050708,JIGMOD Electronic Circuit Building System,5500,10842,Technology,successful,jigmod-electronic-circuit-building-system,FALSE,CA,CAD,$,TRUE,2015-10-13 21:00,October,2015-10-13 21:00,2014-04-26 10:58,2015-09-15,2015,September,FALSE,85,0.75525849,8188.512549,TRUE,5,5,7,7,Tuesday,Tuesday,Saturday,Tuesday,10,13,2015,21,10,13,2015,21,4,26,2014,10,9,15,2015,19,507 days 08:51:08.000000000,28 days 01:10:39.000000000,28 days 01:10:51.000000000,507,28,28,1,DIY Electronics
116912871,The DART - Electronics Reset Tool,6000,402,Technology,failed,electronics-reset-tool,FALSE,CA,CAD,$,TRUE,2015-04-02 6:29,April,2015-04-02 6:29,2015-02-28 20:58,2015-03-03,2015,March,FALSE,49,0.79965966,321.4631833,FALSE,6,6,21,14,Thursday,Thursday,Saturday,Tuesday,4,2,2015,6,4,2,2015,6,2,28,2015,20,3,3,2015,6,2 days 09:30:44.000000000,30 days 00:00:00.000000000,30 days 00:00:03.000000000,2,30,30,0,DIY Electronics
117274316,Ya Got Trouble! Music Man Edmonton,1500,1500,Theater,successful,ya-got-trouble-music-man-edmonton,FALSE,CA,CAD,$,TRUE,2016-11-12 19:42,November,2016-11-12 19:42,2016-10-10 20:12,2016-10-13,2016,October,FALSE,12,0.75669409,1135.041135,TRUE,6,6,17,14,Saturday,Saturday,Monday,Thursday,11,12,2016,19,11,12,2016,19,10,10,2016,20,10,13,2016,19,2 days 23:29:54.000000000,30 days 00:00:00.000000000,30 days 00:00:00.000000000,2,30,30,1,Musical
117370761,"Spivo | The Ultimate Selfie Stick for GoPro, iPhone and more",30000,17733,Technology,failed,spivo-trigger-your-adventure,FALSE,CA,CAD,$,TRUE,2015-07-23 15:09,July,2015-07-23 15:09,2015-05-30 16:06,2015-06-23,2015,June,FALSE,206,0.81530424,14457.79009,FALSE,11,8,22,14,Thursday,Thursday,Saturday,Tuesday,7,23,2015,15,7,23,2015,15,5,30,2015,16,6,23,2015,15,23 days 23:03:15.000000000,30 days 00:00:00.000000000,30 days 00:00:01.000000000,23,30,30,0,Camera Equipment
124894863,Fly Catcher ZR2500,900000,0,Technology,failed,fly-catcher-zr2500,FALSE,CA,CAD,$,TRUE,2015-05-21 8:48,May,2015-05-21 8:48,2015-04-07 16:18,2015-04-21,2015,April,FALSE,0,0.81885998,0,FALSE,3,3,23,14,Thursday,Thursday,Tuesday,Tuesday,5,21,2015,8,5,21,2015,8,4,7,2015,16,4,21,2015,8,13 days 16:30:41.000000000,30 days 00:00:00.000000000,30 days 00:00:05.000000000,13,30,30,0,Gadgets
126168630,"Witness I, Personal Body Camera",50000,50,Technology,failed,witness-i-personal-body-camera,FALSE,CA,CAD,$,TRUE,2015-09-08 10:00,September,2015-09-08 10:00,2015-07-29 18:11,2015-07-30,2015,July,FALSE,1,0.77247099,38.6235495,FALSE,5,5,19,14,Tuesday,Tuesday,Wednesday,Thursday,9,8,2015,10,9,8,2015,10,7,29,2015,18,7,30,2015,10,0 days 16:44:25.000000000,39 days 23:04:01.000000000,39 days 23:04:16.000000000,0,39,39,0,Wearables
127900352,Custom Villain Tables / Infinity effects,2000,57,Technology,failed,custom-villain-tables-infinity-effects,FALSE,CA,CAD,$,TRUE,2016-04-10 16:16,April,2016-04-10 16:16,2016-02-02 13:55,2016-02-10,2016,February,FALSE,4,0.71771846,40.90995222,FALSE,6,6,20,15,Sunday,Sunday,Tuesday,Wednesday,4,10,2016,16,4,10,2016,16,2,2,2016,13,2,10,2016,16,8 days 02:20:58.000000000,60 days 00:00:00.000000000,60 days 00:00:01.000000000,8,60,60,0,Hardware
133845371,"GESTOR - air mouse, presenter, smart TV scroller",55000,88115,Technology,successful,gestor-air-mouse-presenter-smart-tv-scroller,FALSE,CA,CAD,$,TRUE,2016-02-15 16:49,February,2016-02-15 16:49,2015-12-29 12:59,2016-01-06,2016,January,TRUE,1061,0.71908716,63362.3651,TRUE,8,8,25,14,Monday,Monday,Tuesday,Wednesday,2,15,2016,16,2,15,2016,16,12,29,2015,12,1,6,2016,16,8 days 03:50:20.000000000,40 days 00:00:00.000000000,40 days 00:00:00.000000000,8,40,40,1,Gadgets
136044988,BOT libre,100000,663,Technology,failed,bot-libre,FALSE,CA,CAD,$,TRUE,2015-06-29 11:25,June,2015-06-29 11:25,2015-04-29 8:12,2015-04-30,2015,April,FALSE,15,0.8301249,550.3728087,FALSE,2,2,19,15,Monday,Monday,Wednesday,Thursday,6,29,2015,11,6,29,2015,11,4,29,2015,8,4,30,2015,11,1 days 03:13:34.000000000,60 days 00:00:00.000000000,60 days 00:00:01.000000000,1,60,60,0,Software
141167823,IoT for Child Healthcare,10000,0,Technology,failed,iot-for-child-healthcare,FALSE,CA,CAD,$,TRUE,2015-08-29 16:37,August,2015-08-29 16:37,2015-07-08 0:03,2015-07-30,2015,July,FALSE,0,0.77247099,0,FALSE,4,3,7,6,Saturday,Saturday,Wednesday,Thursday,8,29,2015,16,8,29,2015,16,7,8,2015,0,7,30,2015,16,22 days 16:33:44.000000000,30 days 00:00:00.000000000,30 days 00:00:00.000000000,22,30,30,0,Web
160673859,Ac-SMS - The easiest PGP encrypted SMS app for Android,15000,175,Technology,failed,ac-sms-the-easiest-pgp-encrypted-sms-app-for-andro,FALSE,CA,CAD,$,TRUE,2016-02-04 18:40,February,2016-02-04 18:40,2015-12-27 22:12,2016-01-04,2016,January,FALSE,5,0.72225581,126.3947668,FALSE,10,9,20,13,Thursday,Thursday,Sunday,Monday,2,4,2016,18,2,4,2016,18,12,27,2015,22,1,4,2016,18,7 days 20:28:06.000000000,31 days 00:00:00.000000000,31 days 00:00:00.000000000,7,31,31,0,Software
166953314,Votesy: Social Crowdsourcing Voting Website,68000,370,Technology,failed,votesy-social-crowdsourcing-voting-website,FALSE,CA,CAD,$,TRUE,2016-01-13 10:16,January,2016-01-13 10:16,2015-12-11 19:45,2015-12-14,2015,December,FALSE,4,0.72694864,268.9709968,FALSE,5,5,9,6,Wednesday,Wednesday,Friday,Monday,1,13,2016,10,1,13,2016,10,12,11,2015,19,12,14,2015,10,2 days 14:30:57.000000000,30 days 00:00:00.000000000,30 days 00:00:00.000000000,2,30,30,0,Web
170140840,ARIIS - The Most Versatile Sports Performance Monitor,5500,6375,Technology,successful,ariis-the-most-versatile-sports-performance-monito,FALSE,CA,CAD,$,TRUE,2016-11-16 10:45,November,2016-11-16 10:45,2016-10-16 16:09,2016-10-17,2016,October,FALSE,92,0.76100026,4851.376658,TRUE,8,8,20,15,Wednesday,Wednesday,Sunday,Monday,11,16,2016,10,11,16,2016,10,10,16,2016,16,10,17,2016,10,0 days 18:35:50.000000000,30 days 00:00:00.000000000,30 days 00:00:00.000000000,0,30,30,1,Gadgets
170908398,Handmade Wooden Box Mod w/ Japanese-styled engravings,5000,0,Technology,failed,handmade-wooden-box-mod-w-japanese-styled-engravin,FALSE,CA,CAD,$,TRUE,2015-07-05 15:57,July,2015-07-05 15:57,2015-06-04 14:21,2015-06-05,2015,June,FALSE,0,0.80325027,0,FALSE,7,7,19,14,Sunday,Sunday,Thursday,Friday,7,5,2015,15,7,5,2015,15,6,4,2015,14,6,5,2015,15,1 days 01:35:56.000000000,30 days 00:00:00.000000000,30 days 00:00:04.000000000,1,30,30,0,Hardware
